created_at,id,supplier_city,total_amount,total_tax_amount,payment_type,supplier_name,id,Record Count
"Sep 16, 2025, 7:24:36?PM",b5742567-22cc-4c40-b1d0-4209a64dbc5e,Oshawa,29.19,0,Debit,Vinland Supermarket,b5742567-22cc-4c40-b1d0-4209a64dbc5e,1
"Aug 25, 2025, 1:51:56?AM",c85fe9c9-fba9-4c7a-bdc2-b2f3a11bb583,Toronto,109.51,12.6,,Shahi Manjil,c85fe9c9-fba9-4c7a-bdc2-b2f3a11bb583,1
"Aug 10, 2025, 6:12:54?PM",df4e1cf4-3a2b-4c20-b56d-eec841e92326,COURITCE,5.64,0.65,DEBIT,SHOPPERS DRUG MART,df4e1cf4-3a2b-4c20-b56d-eec841e92326,1
"Aug 13, 2025, 7:06:53?PM",632e57b7-a067-4938-adce-8dfbd4d098d7,Oshawa,69.02,3.64,Debit Card,GREAT CLIPS,632e57b7-a067-4938-adce-8dfbd4d098d7,1
"Aug 13, 2025, 3:09:52?PM",42f513d8-d453-4cb2-a4dc-4ece8f7b4068,OSHAWA,57.21,0.98,Debit,PANCHVATI SUPERMARKET,42f513d8-d453-4cb2-a4dc-4ece8f7b4068,1
"Sep 18, 2025, 5:48:52?PM",79dd6315-1c82-4baf-a556-db40607b62c9,Oshawa,116.44,12.69,Interac,DOLLARAMA,79dd6315-1c82-4baf-a556-db40607b62c9,1
"Sep 17, 2025, 9:41:14?PM",e79c0b78-a59d-4659-9553-d03ddc8939e0,BRAMPTON,65.73,0,VISA,CHALO! FRESH CO,e79c0b78-a59d-4659-9553-d03ddc8939e0,1
"Aug 12, 2025, 3:50:37?AM",f4d2008a-698c-4ed4-8c51-778f26b02259,,0.92,0,,,f4d2008a-698c-4ed4-8c51-778f26b02259,1
"Aug 25, 2025, 1:53:34?AM",77f32b5f-a9da-4d70-a98f-c065075893f6,null,10.5,null,null,Ikea food,77f32b5f-a9da-4d70-a98f-c065075893f6,1
"Aug 9, 2025, 5:01:27?AM",e2566cac-613a-4ca5-95ee-850d92317482,SUDBURY,66.6,4.7,MASTERCARD,Walmart,e2566cac-613a-4ca5-95ee-850d92317482,1
"Aug 13, 2025, 7:04:30?PM",3ab8b4c2-824a-497e-9ee6-8981dac114cd,WHITBY,43.93,5.05,DEBIT,TOYS'R'US BABIES'R'US,3ab8b4c2-824a-497e-9ee6-8981dac114cd,1
"Aug 29, 2025, 2:24:17?AM",f5c104b7-3b47-4d8d-a21e-2b331b7a9558,Oshawa,310.82,23.3,DEBIT,Walmart,f5c104b7-3b47-4d8d-a21e-2b331b7a9558,1
"Aug 13, 2025, 7:15:29?PM",b0594e81-993d-4fd4-9525-020827a4e3b1,Oshawa,22.33,2.57,DEBIT CARD,Wilson Foods Kingsway,b0594e81-993d-4fd4-9525-020827a4e3b1,1
"Aug 29, 2025, 7:32:42?PM",f8873000-4f1b-4411-b302-e79237046c35,null,39.12,null,null,shoppers drug mart,f8873000-4f1b-4411-b302-e79237046c35,1
"Aug 12, 2025, 8:30:35?PM",3ab90f41-91f7-4256-8d2e-d40f07f53259,null,245,null,CASH,COSTCO,3ab90f41-91f7-4256-8d2e-d40f07f53259,1
"Sep 17, 2025, 9:21:38?PM",edf54356-801e-4cd2-9045-eadcec079d3e,BRAMPTON,25.13,0,VISA,PETRO-CANADA,edf54356-801e-4cd2-9045-eadcec079d3e,1
"Aug 12, 2025, 9:11:34?PM",5cd4bf00-a912-455a-aa7f-c2232813ce32,OSHAWA,89.48,12.46,VISA,WALMART,5cd4bf00-a912-455a-aa7f-c2232813ce32,1
"Sep 17, 2025, 9:29:53?PM",22d35c96-ea46-4052-889a-b9f3a10dd8e5,BRAMPTON,201.9,8.8,DEBIT,COSTCO WHOLESALE,22d35c96-ea46-4052-889a-b9f3a10dd8e5,1
"Aug 13, 2025, 7:08:39?PM",1a7edbfa-3ab4-4f97-8447-a7b5a62fcba4,Courtice,19.79,0,Debit,FRESH CO,1a7edbfa-3ab4-4f97-8447-a7b5a62fcba4,1
"Sep 8, 2025, 3:11:21?AM",ddc7fde5-3efe-4526-9139-a501e2a964c9,null,41.83,null,null,Skt farm,ddc7fde5-3efe-4526-9139-a501e2a964c9,1
"Sep 20, 2025, 6:15:00?PM",9eca44a9-99a2-42c7-9d8f-57a0015b1d0f,OSHAWA,43.81,5.04,VISA,CANADIAN TIRE,9eca44a9-99a2-42c7-9d8f-57a0015b1d0f,1
"Aug 13, 2025, 10:56:50?PM",b1674148-2d59-4560-a48b-a4199c5bde90,NAPERVILLE,145.05,10.16,VISA,HomeGoods,b1674148-2d59-4560-a48b-a4199c5bde90,1
"Aug 16, 2025, 11:17:53?AM",af60a550-e5ca-425e-ad9a-31be18f0f2bf,Jackson,29.74,0,VISA CREDIT,NIKE,af60a550-e5ca-425e-ad9a-31be18f0f2bf,1
"Aug 13, 2025, 10:53:00?PM",d86595e3-5054-4e25-ac33-f9c8131353f3,EAST WINDSOR,44.26,0,Credit Card,PATIDAR SUPERMARKET,d86595e3-5054-4e25-ac33-f9c8131353f3,1
"Sep 17, 2025, 9:08:37?PM",828ab587-952a-4d7d-a1e5-f73239712588,null,21.5,null,null,grocery,828ab587-952a-4d7d-a1e5-f73239712588,1
"Aug 9, 2025, 5:35:45?AM",78604ca3-e9f5-47fc-a7a7-9f38b4d0fd82,SUDBURY,66.6,4.7,MASTERCARD,Walmart,78604ca3-e9f5-47fc-a7a7-9f38b4d0fd82,1
"Aug 15, 2025, 11:18:38?AM",e6a6e52f-53cd-45bc-9adf-9e4997d09e14,null,4300,null,ONLINE,OSHAWA PROPERTY TAX,e6a6e52f-53cd-45bc-9adf-9e4997d09e14,1
"Aug 18, 2025, 2:44:55?AM",fb3a5657-9fb5-45bc-8233-89d6db9f4180,OSHAWA,44.97,0,Debit,PANCHVATI SUPERMARKET,fb3a5657-9fb5-45bc-8233-89d6db9f4180,1
"Sep 1, 2025, 11:46:34?AM",05fe66ee-4af9-47a2-b47c-eb146ee179c9,COLLINGWOOD,17,0,INTERAC,THE CHIPPER FRESH CUT,05fe66ee-4af9-47a2-b47c-eb146ee179c9,1
"Aug 17, 2025, 6:36:52?PM",362de101-21d0-4b79-b739-3de8ba0ae8e0,COURTICE,78.97,9.08,UISA Credit,PIONEER ENERGY,362de101-21d0-4b79-b739-3de8ba0ae8e0,1
"Aug 12, 2025, 4:48:47?AM",fa2e5655-49d1-4170-b0e7-73cba54a1837,Bowmanville,72.31,0,Credit,Cedar Park Resort,fa2e5655-49d1-4170-b0e7-73cba54a1837,1
"Aug 7, 2025, 7:56:53?PM",087652a2-86a8-44a9-a032-e3d748b0aaef,SUDBURY,66.6,4.7,MASTERCARD,Walmart,087652a2-86a8-44a9-a032-e3d748b0aaef,1
"Aug 24, 2025, 1:57:08?AM",e2d3a577-48a3-4d64-b8b0-55b2ecfa0519,PETERBOROUGH,29.79,0,INTERAC,KAWARTHA DAIRY PETERBOROUGH,e2d3a577-48a3-4d64-b8b0-55b2ecfa0519,1
"Sep 17, 2025, 9:29:01?PM",ea5b27ec-ec0e-48a5-b253-0ad89c0d80c6,BRAMPTON,24.85,2.86,null,FORTINOS,ea5b27ec-ec0e-48a5-b253-0ad89c0d80c6,1
"Aug 13, 2025, 7:16:15?PM",640011c4-8b1e-4fcf-8aa1-2476f3339f27,OSHAWA,90.68,10.43,VISA,CANADIAN TIRE,640011c4-8b1e-4fcf-8aa1-2476f3339f27,1
